Sr,Stroke No.,Date,Advance Time,Excavation per Stroke,Boring Energy,RPM,Torque,Thrust Force,Speed,Gripper Pressure,Total Revolution,Front Shield Pressure LHS,Front Shield Pressure rHS,Q-Value,Q-Value based,Penetration
,,,,,,,,,,,,,,,,
1,3812,2016-01-23 00:00:00,16,1.612,1.3,2.3,500,3600,101,253,37,80,58,4,5,44.5
2,3813,2016-01-23 00:00:00,78,1.559,9.9,2.3,800,3224,20,242,179,60,62,4,4,8.6
3,3814,2016-01-23 00:00:00,43,0.901,9.3,2,900,2895,21,245,86,69,69,4,5,10.5
4,3815,2016-01-24 00:00:00,80,1.396,15.6,2,1300,2962,18,245,160,59,66,4,3,8.9
5,3816,2016-01-24 00:00:00,71,1.526,7.1,2.3,600,3709,21,456,163,75,78,4,5,9.4
6,3817,2016-01-25 00:00:00,37,0.909,11.4,2.4,1100,3866,25,322,89,74,58,4,4,10.3
1,3819,2016-05-02 00:00:00,58,1.406,6.3,2,700,3229,24,243,116,79,74,4,5,12.2
2,3820,2016-06-02 00:00:00,60,1.444,11.9,2.2,1200,3054,24,245,132,75,75,4,4,11
3,3821,2016-09-02 00:00:00,58,1.493,8.6,2.2,900,2809,25,243,128,71,75,4,5,11.7
4,3822,2016-10-02 00:00:00,61,1.513,10.9,2.2,1100,3397,24,244,134,71,65,4,4,11.2
5,3823,2016-12-02 00:00:00,64,1.524,9.5,2.1,1000,3674,24,244,134,71,56,4,4,11.3
6,3824,2016-12-02 00:00:00,58,1.392,8.3,2.3,800,2887,24,246,133,55,81,4,5,10.6
7,3825,2016-02-13 00:00:00,54,1.416,10.5,2.3,1100,3032,26,234,124,58,82,4,4,11.2
8,3826,2016-02-14 00:00:00,60,1.42,7.9,2.2,800,2566,24,223,132,68,79,4,5,10.8
9,3827,2016-02-14 00:00:00,58,1.39,9.4,2.1,1000,2596,24,215,122,50,63,4,5,11.4
10,3828,2016-02-15 00:00:00,52,1.442,9.3,2.4,1000,2830,28,225,125,66,70,4,5,11.8
11,3829,2016-02-15 00:00:00,37,1.005,9.7,2.2,1100,2707,27,245,81,77,80,4,4,12.4
12,3830,2016-02-16 00:00:00,67,1.407,8.6,2.1,800,2858,21,244,141,53,76,4,5,10.1
13,3831,2016-02-19 00:00:00,60,1.413,9.9,2,1100,3039,24,243,120,66,77,4,4,11.7
14,3832,2016-02-19 00:00:00,54,1.404,11.9,2.2,1300,3296,26,243,119,57,75,4,4,11.8
15,3833,2016-02-20 00:00:00,43,1.104,10,2.1,1100,3485,25,246,90,62,71,4,4,12.4
16,3834,2016-02-20 00:00:00,65,1.668,9.1,2.2,1000,3411,26,247,143,67,78,4,5,11.5
17,3835,2016-02-21 00:00:00,35,1.004,10.3,2.3,1200,2944,29,245,81,55,79,4,4,12.7
18,3836,2016-02-21 00:00:00,39,1.004,13.1,2.1,1500,2695,26,243,82,55,82,4,4,12.4
19,3837,2016-02-22 00:00:00,43,1.002,10.8,2.1,1100,2927,23,244,90,70,83,4,4,10.9
20,3838,2016-02-22 00:00:00,77,1.649,14.7,2.2,1300,3605,21,245,169,58,81,4,3,9.8
21,3839,2016-02-22 00:00:00,50,1.356,15.6,2.3,1700,3600,27,245,115,44,78,4,3,11.7
22,3840,2016-02-23 00:00:00,39,1.101,14.2,2.3,1600,3574,28,245,90,58,77,4,3,12.6
23,3841,2016-02-23 00:00:00,38,0.999,10.5,2.3,1100,3361,26,244,87,77,61,4,4,11.2
24,3842,2016-02-24 00:00:00,73,1.739,12.3,2.1,1300,3184,24,247,153,76,70,4,4,11.2
25,3843,2016-02-24 00:00:00,51,1.296,13.3,2.2,1400,3141,25,245,112,80,58,4,4,11.7
26,3844,2016-02-25 00:00:00,73,1.728,13.2,2.1,1400,3321,24,246,153,84,72,4,4,11.1
27,3845,2016-02-25 00:00:00,46,1.316,11.1,2.3,1300,3243,29,245,106,75,42,4,4,12.3
28,3846,2016-02-25 00:00:00,59,1.725,9.4,2.3,1100,3496,29,246,136,61,71,4,5,12.5
29,3847,2016-02-26 00:00:00,49,1.319,13.2,2.2,1500,3733,27,246,108,74,82,4,4,12.2
30,3848,2016-02-26 00:00:00,39,1.047,10.9,2.1,1300,3549,27,245,82,73,83,4,4,12.7
31,3849,2016-02-26 00:00:00,69,1.717,12.3,2.2,1300,3554,25,247,152,81,77,4,4,11.5
32,3850,2016-02-26 00:00:00,52,1.337,13.5,2.5,1300,3524,26,245,130,68,70,4,4,10.2
33,3851,2016-02-26 00:00:00,62,1.726,13.3,2.3,1500,3188,28,247,143,53,72,4,4,12.2
34,3852,2016-02-26 00:00:00,50,1.305,13.4,2.3,1400,3200,26,246,115,67,83,4,4,11.3
35,3853,2016-02-27 00:00:00,36,1.026,14.5,2.3,1700,3470,29,245,83,56,82,4,3,12.6
36,3854,2016-02-27 00:00:00,76,1.741,13.8,2.1,1400,3427,23,250,160,76,79,4,3,10.8
37,3855,2016-02-27 00:00:00,53,1.409,11.4,2.2,1300,3367,27,248,117,78,57,4,4,12.3
38,3856,2016-02-27 00:00:00,53,1.417,12.3,2.2,1400,3473,27,244,117,72,31,4,4,11.9
39,3857,2016-02-28 00:00:00,29,0.72,14.5,2.1,1600,3658,25,244,61,87,60,4,3,11.6
40,3858,2016-02-28 00:00:00,28,0.8,14.2,2.3,1600,3830,28,246,64,92,74,4,3,12.4
41,3859,2016-02-28 00:00:00,56,1.414,11.9,2.3,1200,3643,25,245,129,76,64,4,4,11
42,3860,2016-02-28 00:00:00,55,1.412,16.2,2.3,1700,4179,26,247,127,65,79,4,3,11
43,3861,2016-02-29 00:00:00,54,1.444,14.9,2.2,1700,3971,27,245,119,34,97,4,3,12
1,3865,2016-01-03 00:00:00,50,1.393,10.2,2.2,1200,3464,28,247,110,81,82,4,4,12.6
2,3866,2016-02-03 00:00:00,56,1.428,11.4,2.4,1100,3722,25,246,134,77,45,4,4,10.6
3,3867,2016-03-03 00:00:00,61,1.619,10.9,2.1,1300,4025,27,246,128,81,78,4,4,12.4
4,3868,2016-03-03 00:00:00,50,1.417,11.1,2.4,1200,3583,28,245,120,70,74,4,4,11.9
5,3869,2016-03-03 00:00:00,48,1.422,8.6,2.3,1000,3199,29,245,110,74,74,4,5,12.6
6,3870,2016-04-03 00:00:00,48,1.415,12.5,2.4,1400,3238,29,246,115,80,86,4,4,12.2
7,3871,2016-04-03 00:00:00,54,1.565,11.6,2.4,1300,3084,29,245,130,80,83,4,4,11.9
8,3872,2016-04-03 00:00:00,57,1.525,9.2,2.3,1000,2553,27,248,131,67,80,4,5,11.7
9,3873,2016-04-03 00:00:00,46,1.408,10.3,2.2,1300,2640,30,249,101,64,75,4,4,13.5
10,3874,2016-04-03 00:00:00,46,1.444,9.6,2.3,1200,2808,31,247,106,72,74,4,4,13.7
11,3875,2016-05-03 00:00:00,57,1.735,12.9,2.4,1500,3212,30,246,137,74,84,4,4,12.9
12,3876,2016-05-03 00:00:00,40,1.145,13.5,2.5,1400,3485,28,245,100,77,86,4,3,11.3
13,3877,2016-05-03 00:00:00,25,1.013,9.7,3,1200,3049,40,209,75,77,80,4,4,13.4
14,3878,2016-05-03 00:00:00,25,1.017,13.3,3,1600,2903,39,206,75,75,59,4,4,13
15,3879,2016-05-03 00:00:00,27,1.026,11.4,3.1,1300,2812,38,206,84,69,61,4,4,12.5
16,3880,2016-05-03 00:00:00,24,1.017,10.6,3.1,1300,2994,41,207,74,68,69,4,4,13.3
17,3881,2016-06-03 00:00:00,27,1.031,11.4,3.1,1300,3315,38,207,84,69,83,4,4,12.2
18,3882,2016-06-03 00:00:00,27,1.002,14.5,3.1,1600,3426,37,206,84,75,90,4,3,11.9
19,3883,2016-06-03 00:00:00,27,1.044,12.3,3.1,1400,3505,38,207,84,73,88,4,4,12.3
20,3884,2016-06-03 00:00:00,28,1.038,10.9,3.4,1100,3290,37,205,95,75,78,4,4,10.8
21,3885,2016-07-03 00:00:00,27,1.028,13.5,3.4,1400,3407,38,208,92,78,83,4,3,11.3
22,3886,2016-07-03 00:00:00,28,1.117,13.2,3.4,1400,3524,39,205,95,81,74,4,4,11.5
23,3887,2016-07-03 00:00:00,26,1.008,11.8,3.2,1300,3517,38,198,83,76,64,4,4,11.7
24,3888,2016-07-03 00:00:00,20,1.011,12.8,3.2,1300,3714,35,208,64,77,73,4,4,13.9
25,3889,2016-08-03 00:00:00,26,1.016,13.7,3.1,1600,3854,39,208,81,72,81,4,3,12.2
26,3890,2016-08-03 00:00:00,32,1.189,14.5,3.1,1600,4128,37,206,99,81,79,4,3,11.9
27,3891,2016-08-03 00:00:00,26,1.007,9.1,3.2,1000,3774,38,207,83,63,74,4,5,11.9
28,3892,2016-08-03 00:00:00,25,1.01,10.4,3.2,1200,3656,40,207,80,68,73,4,4,12.6
29,3893,2016-08-03 00:00:00,24,1.011,9.3,3.3,1100,3493,42,208,79,59,79,4,5,12.9
30,3894,2016-08-03 00:00:00,28,1.019,10.9,3.2,1100,3761,35,206,90,78,79,4,4,11
31,3895,2016-09-03 00:00:00,25,1.046,10.2,3,1200,3642,38,208,75,69,81,4,4,12.6
32,3896,2016-09-03 00:00:00,26,1.045,8.9,2.9,1100,3863,39,208,75,84,83,4,5,13.4
33,3897,2016-09-03 00:00:00,24,1.153,10.9,3.4,1400,4156,47,207,82,84,69,4,4,13.6
34,3898,2016-09-03 00:00:00,26,0.997,11.8,3.2,1300,5145,38,208,83,87,51,4,4,12
35,3899,2016-09-03 00:00:00,23,0.897,8.5,3.4,900,4952,39,207,78,85,79,4,5,11.5
36,3900,2016-10-03 00:00:00,31,1.035,11.5,2.7,1300,4433,33,208,84,86,18,4,4,12
37,3901,2016-10-03 00:00:00,29,1.044,11.8,2.8,1400,3902,36,207,81,84,17,4,4,13
38,3902,2016-10-03 00:00:00,27,1.021,11.2,3.2,1200,3622,37,209,86,83,16,4,4,11.5
39,3903,2016-11-03 00:00:00,27,1.018,12.7,3.1,1400,3550,37,206,84,79,21,4,4,11.9
40,3904,2016-11-03 00:00:00,29,1.161,11.7,3.1,1400,3372,40,208,90,55,7,4,4,12.9
41,3905,2016-11-03 00:00:00,26,1.047,10.4,3.2,1200,2976,40,189,83,61,80,4,4,12.8
42,3906,2016-11-03 00:00:00,24,1.046,11.9,3.4,1400,3360,43,190,82,71,78,4,4,12.8
43,3907,2016-11-03 00:00:00,19,1.016,11.4,3.8,1500,3483,54,189,72,65,78,4,4,14
44,3908,2016-11-03 00:00:00,26,1.018,14.6,3.1,1700,3574,39,189,81,66,78,4,3,12.6
45,3909,2016-12-03 00:00:00,25,1.011,11.6,3.3,1300,3629,40,188,83,82,55,4,4,12.2
46,3910,2016-12-03 00:00:00,26,1.012,12.2,3.3,1300,3431,38,189,86,70,74,4,4,11.4
47,3911,2016-12-03 00:00:00,25,1.018,14.2,3.3,1600,3803,40,189,83,51,80,4,3,12
48,3912,2016-12-03 00:00:00,33,1.267,13.1,3.3,1400,4000,38,190,109,62,67,4,4,11.4
49,3913,2016-03-13 00:00:00,24,1,11,3.2,1300,3523,41,186,77,74,56,4,4,12.7
50,3914,2016-03-13 00:00:00,26,1.467,8.2,3.4,1000,3346,45,190,88,66,73,4,5,13.1
51,3915,2016-03-13 00:00:00,29,1.222,9.9,3.2,1200,3676,42,190,93,75,79,4,4,13.3
52,3916,2016-03-13 00:00:00,31,1.25,9.8,3.3,1100,3611,40,188,102,68,87,4,4,12
53,3917,2016-03-13 00:00:00,31,1.214,10.4,2.9,1300,3717,39,188,90,54,91,3,4,13.2
54,3918,2016-03-14 00:00:00,29,1.223,8.4,3.2,1000,3300,41,190,93,47,82,3,5,12.9
55,3919,2016-03-14 00:00:00,28,1.223,9.9,3.3,1200,3337,43,189,92,55,76,3,4,13.2
56,3920,2016-03-14 00:00:00,31,1.217,11.5,3.2,1300,3270,39,191,99,75,48,4,4,12.2
57,3921,2016-03-14 00:00:00,34,1.309,11,3.3,1200,3044,39,189,112,76,39,4,4,11.6
58,3922,2016-03-14 00:00:00,28,1.181,9,3.5,1000,2980,42,189,98,74,69,3,5,12
59,3923,2016-03-14 00:00:00,28,1.235,9.4,3.4,1100,3342,43,188,95,42,86,3,5,12.5
60,3924,2016-03-14 00:00:00,28,1.241,11.1,3.4,1300,3615,43,188,95,69,75,4,4,12.7
61,3925,2016-03-14 00:00:00,29,1.298,12.5,3.4,1500,3338,44,189,99,67,69,4,4,13
62,3926,2016-03-15 00:00:00,28,1.469,11.4,3.4,1300,3359,42,190,95,69,74,4,4,12.1
63,3927,2016-03-15 00:00:00,33,1.369,13.9,3.3,1600,3855,41,189,109,63,73,4,3,12.6
64,3928,2016-03-16 00:00:00,34,1.384,13.4,3.3,1500,3519,40,187,112,50,71,4,4,12.4
65,3929,2016-03-16 00:00:00,27,1.2,11,3.2,1400,2986,44,189,86,46,82,4,4,13.7
66,3930,2016-03-16 00:00:00,41,1.204,11.9,3.2,1000,2671,29,188,131,54,74,4,4,9.3
67,3931,2016-03-16 00:00:00,29,1.241,11,3.3,1300,2949,42,191,96,56,70,4,4,12.9
68,3932,2016-03-16 00:00:00,30,1.026,11.6,2.8,1300,3333,34,189,84,67,49,4,4,12.2
69,3933,2016-03-16 00:00:00,26,1.012,11.4,3.1,1300,3294,38,189,81,77,43,4,4,12.1
70,3934,2016-03-17 00:00:00,26,1.009,12.2,3.3,1300,3383,38,190,86,73,44,4,4,11.3
71,3935,2016-03-17 00:00:00,25,1.013,13.4,3.3,1500,3622,40,188,83,70,55,4,4,12
72,3936,2016-03-17 00:00:00,30,1.164,13.2,3.4,1400,3709,39,190,102,77,71,4,4,11.5
73,3937,2016-03-17 00:00:00,27,1.027,10.2,2.9,1200,3841,37,189,78,86,72,4,4,12.9
74,3938,2016-03-17 00:00:00,28,1.038,13.9,2.9,1600,3750,36,190,81,74,59,4,3,12.6
75,3939,2016-03-17 00:00:00,27,1.051,14.6,3.1,1700,3843,39,190,84,69,70,4,3,12.6
76,3940,2016-03-18 00:00:00,27,1.017,13.1,3.2,1400,3796,37,189,86,74,74,4,4,11.5
77,3941,2016-03-18 00:00:00,26,1.02,11.5,3.2,1300,3918,39,192,83,71,77,4,4,12
78,3942,2016-03-18 00:00:00,28,1.037,10.8,3,1200,3809,36,187,84,78,71,4,4,12
79,3943,2016-03-18 00:00:00,32,1.016,12.1,2.9,1200,3642,31,190,93,75,79,4,4,10.8
80,3944,2016-03-18 00:00:00,28,1.011,12,3,1300,3677,35,190,84,50,78,4,4,11.5
81,3945,2016-03-19 00:00:00,45,1.704,13.6,3.1,1500,3629,37,192,140,62,68,4,3,11.8
82,3946,2016-03-19 00:00:00,21,0.851,11,3.3,1200,3342,39,190,69,69,68,4,4,11.9
83,3947,2016-03-19 00:00:00,2,0.068,14.6,3.3,1400,2983,34,187,7,80,63,4,3,10.4
84,3948,2016-03-19 00:00:00,29,1.018,11.7,2.7,1400,3427,35,209,78,76,65,4,4,12.8
85,3949,2016-03-19 00:00:00,25,1.029,11.3,3,1400,3316,40,208,75,69,67,4,4,13.2
86,3950,2016-03-20 00:00:00,25,1.017,8.1,3,1000,3361,40,207,75,60,66,4,5,13.1
87,3951,2016-03-20 00:00:00,39,1.649,10.7,3.2,1300,3641,42,210,125,58,73,4,4,13
88,3952,2016-03-20 00:00:00,47,1.645,12.4,3,1300,3722,34,204,141,57,75,4,4,11.3
89,3953,2016-03-20 00:00:00,35,1.56,12.6,3.2,1600,3646,44,196,112,67,68,3,4,13.8
90,3954,2016-03-20 00:00:00,32,1.447,10.3,3.3,1300,2977,45,201,106,69,73,3,4,13.7
91,3955,2016-03-20 00:00:00,31,1.437,12,3.4,1500,3873,46,198,105,81,44,3,4,13.7
92,3956,2016-03-20 00:00:00,28,1.417,10.9,3.6,1400,4164,50,200,101,88,67,3,4,13.7
93,3957,2016-03-20 00:00:00,31,1.413,13.8,3.6,1600,4342,45,198,112,83,55,3,3,12.4
94,3958,2016-03-20 00:00:00,32,1.415,12.3,3.5,1400,3318,43,200,112,75,69,3,4,12.4
95,3959,2016-03-21 00:00:00,33,1.417,11.4,3.5,1300,3680,43,198,116,55,83,3,4,12.1
96,3960,2016-03-21 00:00:00,33,1.376,12.5,3.4,1400,3861,41,198,112,44,76,3,4,12
97,3961,2016-03-21 00:00:00,28,1.22,9.6,3.1,1200,3224,42,198,87,63,76,4,4,13.8
98,3962,2016-03-21 00:00:00,29,1.221,10.1,3.2,1200,3433,41,198,93,71,78,4,4,12.7
99,3963,2016-03-21 00:00:00,29,1.241,11,3.3,1300,3658,42,197,96,78,59,4,4,12.8
100,3964,2016-03-21 00:00:00,29,1.231,11.5,3.2,1400,3587,42,196,93,72,51,4,4,13
101,3965,2016-03-22 00:00:00,28,1.215,8.3,3.3,1000,3624,43,199,92,61,70,4,5,13
102,3966,2016-03-22 00:00:00,35,1.409,10.7,3.3,1200,4732,40,196,116,80,53,4,4,12
103,3967,2016-03-22 00:00:00,34,1.416,9.9,3.2,1200,4730,42,197,109,83,70,4,4,13.2
104,3968,2016-03-22 00:00:00,29,1.424,11.8,3.5,1500,4762,48,196,102,73,86,4,4,13.9
105,3969,2016-03-22 00:00:00,29,1.436,11.6,3.5,1500,4516,49,198,102,64,94,4,4,13.9
106,3970,2016-03-22 00:00:00,28,1.409,11.7,3.6,1500,3794,50,198,101,59,88,4,4,13.8
107,3971,2016-03-23 00:00:00,32,1.438,12.4,3.7,1400,3387,45,195,118,72,68,4,4,12.3
108,3972,2016-03-23 00:00:00,31,1.412,10.8,3.4,1300,2609,44,197,105,57,75,4,4,13.2
109,3973,2016-03-23 00:00:00,32,1.416,11.3,3.3,1400,2355,44,199,106,62,62,4,4,13.3
110,3974,2016-03-23 00:00:00,33,1.521,10.1,3.3,1300,2486,46,197,109,67,61,4,4,13.9
111,3975,2016-03-23 00:00:00,29,1.429,8.7,3.5,1100,2852,48,197,102,81,59,4,5,13.9
112,3976,2016-03-23 00:00:00,28,1.441,11.4,3.6,1500,3515,51,189,101,75,57,4,4,14.3
113,3977,2016-03-23 00:00:00,28,1.402,12.2,3.7,1500,3483,49,187,104,73,75,4,4,13.3
114,3978,2016-03-23 00:00:00,29,1.487,11.7,3.6,1500,3784,50,186,104,82,59,4,4,13.8
115,3979,2016-03-23 00:00:00,26,1.439,13.6,4,1700,3973,54,189,104,85,41,4,4,13.6
116,3980,2016-03-24 00:00:00,26,1.291,11.1,4.1,1200,3860,48,189,107,73,76,4,4,11.8
117,3981,2016-03-24 00:00:00,30,1.435,11.4,3.8,1300,3602,47,190,114,85,50,4,4,12.4
118,3982,2016-03-24 00:00:00,36,1.417,10,3.6,1000,3254,39,200,130,79,63,4,4,11.1
119,3983,2016-03-24 00:00:00,30,1.428,10.7,3.8,1200,3498,46,197,114,78,74,4,4,12.3
120,3984,2016-03-25 00:00:00,31,1.418,13.7,3.8,1500,3412,45,196,118,66,70,4,3,13.6
121,3985,2016-03-25 00:00:00,33,1.421,11.3,3.2,1400,3533,43,199,106,55,72,4,4,13.3
122,3986,2016-03-25 00:00:00,35,1.524,13.7,3.2,1700,3752,43,199,112,54,71,4,3,13.5
123,3987,2016-03-25 00:00:00,30,1.431,8.3,3.6,1000,3282,47,198,108,73,74,4,5,13.1
124,3988,2016-03-25 00:00:00,26,1.425,10.3,3.9,1300,3480,53,197,101,76,69,4,4,13.7
125,3989,2016-03-25 00:00:00,26,1.278,10.3,3.9,1200,3456,49,199,101,79,78,4,4,12.4
126,3990,2016-03-25 00:00:00,28,1.441,11,3.9,1300,3480,50,198,109,81,68,4,4,12.9
128,3992,2016-03-25 00:00:00,26,1.241,11.6,3.6,1400,3616,47,199,94,70,82,4,4,13
129,3993,2016-03-26 00:00:00,28,1.277,10.3,3.3,1300,3488,45,200,92,44,86,4,4,13.5
130,3994,2016-03-26 00:00:00,29,1.312,8.7,3.3,1100,3334,45,198,96,57,75,4,5,13.5
131,3995,2016-03-26 00:00:00,36,1.567,11.6,3.3,1400,3339,43,200,119,65,66,4,4,13
132,3996,2016-03-26 00:00:00,21,1.116,13.7,3.8,1700,3119,51,195,80,67,79,4,3,13.3
133,3997,2016-03-26 00:00:00,23,1.2,12.4,3.9,1500,3196,51,199,90,50,76,4,4,13
134,3998,2016-03-26 00:00:00,35,1.409,10.1,3.4,1100,3034,40,198,119,75,57,4,4,11.9
135,3999,2016-03-27 00:00:00,30,1.411,12,3.4,1500,3131,46,198,102,66,69,4,4,13.4
136,4000,2016-03-27 00:00:00,31,1.417,10.4,3.4,1300,2886,46,198,105,51,74,4,4,13.3
137,4001,2016-03-27 00:00:00,30,1.352,11.4,3.4,1400,2749,45,198,102,64,73,4,4,13.1
138,4002,2016-03-27 00:00:00,21,1.008,8,3.5,1000,2635,47,199,74,76,53,4,5,13.6
139,4003,2016-03-27 00:00:00,25,1.236,12,3.8,1400,3135,48,200,95,67,79,4,4,12.8
140,4004,2016-03-27 00:00:00,25,1.43,12.1,4.2,1500,3165,56,200,105,52,69,4,4,13.4
141,4005,2016-03-27 00:00:00,25,1.432,9.5,4.1,1200,3458,56,198,103,69,90,4,4,13.6
142,4006,2016-03-27 00:00:00,30,1.427,8.9,3.6,1100,3611,48,202,108,69,78,4,5,13.1
143,4007,2016-03-28 00:00:00,28,1.275,10.9,3.5,1300,3698,45,200,98,70,72,4,4,13
144,4008,2016-03-28 00:00:00,30,1.321,8.8,3.5,1000,3578,43,199,105,65,76,4,5,12.5
145,4009,2016-03-28 00:00:00,0,0.032,13.7,3.5,1200,2110,33,194,0,91,71,3,4,9.3
146,4010,2016-03-28 00:00:00,18,0.729,9.1,3.3,1000,3434,39,200,59,87,68,3,5,11.8
147,4011,2016-03-28 00:00:00,16,0.798,10.3,3.8,1200,3292,48,199,61,83,72,3,4,13.2
148,4012,2016-03-28 00:00:00,26,1.417,7.8,3.8,1000,3151,53,201,99,70,68,3,5,13.7
149,4013,2016-03-28 00:00:00,25,1.433,9.3,4.1,1200,3548,57,198,103,74,76,3,5,13.8
150,4014,2016-03-28 00:00:00,6,0.379,9.2,4.1,1200,3662,58,197,25,47,65,3,5,14.3
151,4015,2016-03-28 00:00:00,1,0.04,6.9,3.3,600,2554,31,214,3,53,76,3,5,9.5
152,4016,2016-03-28 00:00:00,7,0.31,9.6,3.3,1100,3767,41,217,23,56,74,3,5,12.5
153,4017,2016-03-28 00:00:00,11,0.543,7.2,3.4,900,3245,46,199,37,46,73,3,5,13.4
154,4018,2016-03-28 00:00:00,23,1.221,11.3,3.9,1400,3604,52,198,90,57,76,3,4,13.1
155,4019,2016-03-29 00:00:00,30,1.223,12,3.5,1300,3703,41,199,105,71,85,3,4,11.7
156,4020,2016-03-29 00:00:00,38,1.527,10.7,3.5,1100,3569,39,199,133,63,73,3,4,11.1
157,4021,2016-03-30 00:00:00,29,1.21,8,3.3,900,3764,40,198,96,59,70,3,5,12.2
158,4022,2016-03-30 00:00:00,32,1.219,11.9,3.4,1200,3893,37,199,109,45,74,4,4,11.1
159,4023,2016-03-30 00:00:00,34,1.209,9.2,3.3,900,3802,35,201,112,66,64,4,5,10.7
160,4024,2016-03-30 00:00:00,32,1.223,8.7,3.4,900,3738,38,201,109,74,65,4,5,11
161,4025,2016-03-31 00:00:00,29,1.198,11.3,3.3,1300,3641,41,200,96,66,48,4,4,12.2
162,4026,2016-03-31 00:00:00,32,1.232,9.4,3.3,1000,3792,38,198,106,79,68,4,5,11.4
163,4027,2016-03-31 00:00:00,25,1.347,11.8,3.8,1500,3997,52,197,95,63,63,4,4,13.7
164,4028,2016-03-31 00:00:00,31,1.239,11.9,3.3,1300,3673,39,195,102,59,70,4,4,11.8
165,4029,2016-03-31 00:00:00,26,1.22,12.3,3.5,1500,3689,46,199,91,62,66,4,4,13.2
166,4030,2016-03-31 00:00:00,28,1.239,9.7,3.5,1100,3969,43,200,98,59,70,4,4,12.5
1,4031,2016-01-04 00:00:00,27,1.226,12,3.5,1400,4473,44,197,95,69,84,4,4,12.7
2,4032,2016-01-04 00:00:00,24,1.234,9.4,3.7,1200,4277,51,198,89,74,66,4,4,13.8
3,4033,2016-01-04 00:00:00,23,1.24,12.2,3.9,1500,4743,52,198,90,87,55,4,4,13.5
4,4034,2016-01-04 00:00:00,25,1.185,9.6,3.7,1100,4898,46,198,93,81,27,4,4,12.6
5,4035,2016-01-04 00:00:00,29,1.233,9.9,3.5,1100,4768,42,199,102,72,66,4,4,12
6,4036,2016-01-04 00:00:00,27,1.157,13.1,3.4,1500,4262,42,199,92,55,70,4,4,12.5
7,4037,2016-02-04 00:00:00,32,1.252,10.6,3.4,1100,3332,38,198,109,73,70,4,4,11.2
8,4038,2016-02-04 00:00:00,30,9.146,10.7,3.3,1200,3200,40,196,99,67,64,4,4,12.2
9,4039,2016-02-04 00:00:00,26,1.205,11.4,3.4,1400,3383,45,199,88,71,64,4,4,13.1
10,4040,2016-02-04 00:00:00,26,1.141,9.5,3.5,1100,3328,44,199,91,86,64,4,4,12.5
11,4041,2016-02-04 00:00:00,31,1.414,11,3.6,1300,3911,46,200,112,70,70,4,4,12.8
12,4042,2016-02-04 00:00:00,38,1.668,13.2,3.6,1500,3875,44,199,137,59,69,4,4,12.1
13,4043,2016-02-04 00:00:00,24,1.099,11.2,3.6,1300,3713,45,199,86,66,71,4,4,12.5
14,4044,2016-03-04 00:00:00,28,1.412,10.3,3.6,1300,3820,49,199,101,82,86,4,4,13.7
15,4045,2016-03-04 00:00:00,27,1.226,11.2,3.8,1200,3852,44,198,103,77,75,4,4,11.7
16,4046,2016-03-04 00:00:00,28,1.219,11.8,3.6,1300,4198,43,199,101,77,64,4,4,11.9
17,4047,2016-03-04 00:00:00,34,1.582,10.2,3.6,1200,4538,46,200,122,78,70,4,4,12.7
18,4048,2016-03-04 00:00:00,30,1.173,9.2,3.6,900,4499,38,199,108,73,64,4,5,10.5
19,4049,2016-04-04 00:00:00,29,1.231,8.6,3.7,900,4115,42,197,107,74,65,4,5,11.5
20,4050,2016-04-04 00:00:00,27,1.231,11.5,3.9,1200,3982,44,199,105,69,68,4,4,11.5
21,4051,2016-04-04 00:00:00,16,0.699,14.1,4,1400,4142,43,197,64,58,74,4,3,10.8
22,4052,2016-04-04 00:00:00,10,0.503,9.9,4.2,1000,4052,46,198,42,80,92,4,4,11.1
23,4053,2016-04-04 00:00:00,34,1.557,11.6,3.8,1300,5325,46,468,129,74,84,4,4,12
24,4054,2016-04-04 00:00:00,10,0.002,5.9,3.3,200,395,12,196,0,52,78,4,5,3.7
25,4055,2016-04-04 00:00:00,29,1.098,11.9,3.7,1100,4740,37,195,107,58,72,4,4,10
26,4056,2016-04-04 00:00:00,31,1.212,11.6,3.7,1100,4277,38,200,115,66,77,4,4,10.1
27,4057,2016-05-04 00:00:00,28,1.235,14.3,3.8,1500,4377,43,198,106,52,74,4,3,11.3
28,4058,2016-05-04 00:00:00,28,1.227,17.7,3.8,1900,5477,44,201,106,74,76,4,2,11.4
29,4059,2016-05-04 00:00:00,27,1.22,21.5,3.9,2300,6838,45,199,105,76,72,4,2,11.5
30,4060,2016-05-04 00:00:00,31,1.169,21.6,3.9,1900,6196,37,199,121,65,60,4,2,9.4
31,4061,2016-05-04 00:00:00,28,1.216,17.6,3.8,1800,6327,42,200,106,84,59,4,2,11
32,4062,2016-05-04 00:00:00,26,1.233,13.7,3.9,1500,4568,46,202,101,64,67,4,3,11.7
33,4063,2016-06-04 00:00:00,24,1.24,18.5,3.9,2200,5762,50,201,94,65,63,4,2,12.8
34,4064,2016-06-04 00:00:00,33,1.362,20,3.8,2000,6035,41,200,125,66,70,4,2,10.7
35,4065,2016-06-04 00:00:00,29,1.237,13.7,3.8,1400,4884,42,199,110,59,65,4,3,11
36,4066,2016-06-04 00:00:00,25,1.223,17.9,3.9,2000,6080,47,201,98,71,56,4,2,12.1
